	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	15.5	16	16.5	17	18	19	Number of timepoints	Question answers	Question answers en	Question answers en human	Question answers human	Question en
hebt u een coronavirus/covid-19 infectie (gehad)?	covt01_infection_adu_q_1_a	covt02_infection_adu_q_1_a	covt03_infection_adu_q_1_a	covt04_infection_adu_q_1_a	covt05_infection_adu_q_1_a	covt06_infection_adu_q_2_a	covt07_infection_adu_q_2_a	covt08_infection_adu_q_2_a	covt09_infection_adu_q_2_a	covt10_infection_adu_q_2_a	covt11_infection_adu_q_2_a	covt12_infection_adu_q_2_a	covt13_infection_adu_q_2_a	covt14_infection_adu_q_2_a	covt15_infection_adu_q_2_a	covt15b_coronatest_adu_q_1_a	covt16_coronatest_adu_q_1_a	covt16b_coronatest_adu_q_1_a	covt17_coronatest_adu_q_1_a	covt18_coronatest_adu_q_1_a	covt19_coronatest_adu_q_1_a	21	{"1": "ja", "2": "nee"}	{"1": "yes", "2": "no"}	1: yes, 2: no	1: ja, 2: nee	do you have or have you had a coronavirus/covid-19 infection?
ik ben student / wat doet u nu in het dagelijks leven?	covt01_employment_adu_q_1_a	covt02_employment_adu_q_1_a	covt03_employment_adu_q_1_a	covt04_employment_adu_q_1_a	covt05_employment_adu_q_1_a	covt06_employment_adu_q_1_a	covt07_employment_adu_q_1_a	covt08_employment_adu_q_1_a	covt09_employment_adu_q_1_a	covt10_employment_adu_q_1_a	covt11_employment_adu_q_1_a	covt12_employment_adu_q_1_a	covt13_employment_adu_q_1_a	covt14_employment_adu_q_1_a	covt15_employment_adu_q_1_a	covt15b_employment_adu_q_1_a	covt16_employment_adu_q_1_a	covt16b_employment_adu_q_1_a	covt17_employment_adu_q_1_a	covt18_employment_adu_q_1_a	covt19_employment_adu_q_1_a	21	{"1": "ik ben student"}	{"1": "i am a student"}	1: i am a student	1: ik ben student	i am a student / what do you currently do in your daily life?
ik werk (full-time, part-time, zzp) / wat doet u nu in het dagelijks leven?	covt01_employment_adu_q_1_b	covt02_employment_adu_q_1_b	covt03_employment_adu_q_2_b	covt04_employment_adu_q_2_b	covt05_employment_adu_q_2_b	covt06_employment_adu_q_2_b	covt07_employment_adu_q_2_b	covt08_employment_adu_q_2_b	covt09_employment_adu_q_2_b	covt10_employment_adu_q_2_b	covt11_employment_adu_q_2_b	covt12_employment_adu_q_2_b	covt13_employment_adu_q_2_b	covt14_employment_adu_q_2_b	covt15_employment_adu_q_2_b	covt15b_employment_adu_q_2_b	covt16_employment_adu_q_2_b	covt16b_employment_adu_q_2_b	covt17_employment_adu_q_2_b	covt18_employment_adu_q_2_b	covt19_employment_adu_q_2_b	21	{"1": "ik werk (full-time, part-time, zzp)"}	{"1": "i work (full-time, part-time, freelance)"}	1: i work (full-time, part-time, freelance)	1: ik werk (full-time, part-time, zzp)	i work (full-time, part-time, freelance) / what do you currently do in your daily life?
ik zit in de ziektewet / wat doet u nu in het dagelijks leven?	covt01_employment_adu_q_1_c	covt02_employment_adu_q_1_c	covt03_employment_adu_q_1_c	covt04_employment_adu_q_1_c	covt05_employment_adu_q_1_c	covt06_employment_adu_q_1_c	covt07_employment_adu_q_1_c	covt08_employment_adu_q_1_c	covt09_employment_adu_q_1_c	covt10_employment_adu_q_1_c	covt11_employment_adu_q_1_c	covt12_employment_adu_q_1_c	covt13_employment_adu_q_1_c	covt14_employment_adu_q_1_c	covt15_employment_adu_q_1_c	covt15b_employment_adu_q_1_c	covt16_employment_adu_q_1_c	covt16b_employment_adu_q_1_c	covt17_employment_adu_q_1_c	covt18_employment_adu_q_1_c	covt19_employment_adu_q_1_c	21	{"1": "ik zit in de ziektewet"}	{"1": "i am on disability"}	1: i am on disability	1: ik zit in de ziektewet	i am on disability / what do you currently do in your daily life?
ik ben werkloos / wat doet u nu in het dagelijks leven?	covt01_employment_adu_q_1_d	covt02_employment_adu_q_1_d	covt03_employment_adu_q_1_d	covt04_employment_adu_q_1_d	covt05_employment_adu_q_1_d	covt06_employment_adu_q_1_d	covt07_employment_adu_q_1_d	covt08_employment_adu_q_1_d	covt09_employment_adu_q_1_d	covt10_employment_adu_q_1_d	covt11_employment_adu_q_1_d	covt12_employment_adu_q_1_d	covt13_employment_adu_q_1_d	covt14_employment_adu_q_1_d	covt15_employment_adu_q_1_d	covt15b_employment_adu_q_1_d	covt16_employment_adu_q_1_d	covt16b_employment_adu_q_1_d	covt17_employment_adu_q_1_d	covt18_employment_adu_q_1_d	covt19_employment_adu_q_1_d	21	{"1": "ik ben werkloos"}	{"1": "i am unemployed"}	1: i am unemployed	1: ik ben werkloos	i am unemployed / what do you currently do in your daily life?
ik ben gepensioneerd / wat doet u nu in het dagelijks leven?	covt01_employment_adu_q_1_e	covt02_employment_adu_q_1_e	covt03_employment_adu_q_1_e	covt04_employment_adu_q_1_e	covt05_employment_adu_q_1_e	covt06_employment_adu_q_1_e	covt07_employment_adu_q_1_e	covt08_employment_adu_q_1_e	covt09_employment_adu_q_1_e	covt10_employment_adu_q_1_e	covt11_employment_adu_q_1_e	covt12_employment_adu_q_1_e	covt13_employment_adu_q_1_e	covt14_employment_adu_q_1_e	covt15_employment_adu_q_1_e	covt15b_employment_adu_q_1_e	covt16_employment_adu_q_1_e	covt16b_employment_adu_q_1_e	covt17_employment_adu_q_1_e	covt18_employment_adu_q_1_e	covt19_employment_adu_q_1_e	21	{"1": "ik ben gepensioneerd"}	{"1": "i am retired"}	1: i am retired	1: ik ben gepensioneerd	i am retired / what do you currently do in your daily life?
ik heb zwangerschapsverlof / wat doet u nu in het dagelijks leven?	covt01_employment_adu_q_1_f	covt02_employment_adu_q_1_f	covt03_employment_adu_q_1_f	covt04_employment_adu_q_1_f	covt05_employment_adu_q_1_f	covt06_employment_adu_q_1_f	covt07_employment_adu_q_1_f	covt08_employment_adu_q_1_f	covt09_employment_adu_q_1_f	covt10_employment_adu_q_1_f	covt11_employment_adu_q_1_f	covt12_employment_adu_q_1_f	covt13_employment_adu_q_1_f	covt14_employment_adu_q_1_f	covt15_employment_adu_q_1_f	covt15b_employment_adu_q_1_f	covt16_employment_adu_q_1_f	covt16b_employment_adu_q_1_f	covt17_employment_adu_q_1_f	covt18_employment_adu_q_1_f	covt19_employment_adu_q_1_f	21	{"1": "ik heb zwangerschapsverlof"}	{"1": "i am on maternity leave"}	1: i am on maternity leave	1: ik heb zwangerschapsverlof	i am on maternity leave / what do you currently do in your daily life?
anders / wat doet u nu in het dagelijks leven?	covt01_employment_adu_q_1_g	covt02_employment_adu_q_1_g	covt03_employment_adu_q_2_g	covt04_employment_adu_q_2_g	covt05_employment_adu_q_2_g	covt06_employment_adu_q_2_g	covt07_employment_adu_q_2_g	covt08_employment_adu_q_2_g	covt09_employment_adu_q_2_g	covt10_employment_adu_q_2_g	covt11_employment_adu_q_2_g	covt12_employment_adu_q_2_g	covt13_employment_adu_q_2_g	covt14_employment_adu_q_2_g	covt15_employment_adu_q_2_g	covt15b_employment_adu_q_2_g	covt16_employment_adu_q_2_g	covt16b_employment_adu_q_2_g	covt17_employment_adu_q_2_g	covt18_employment_adu_q_2_g	covt19_employment_adu_q_2_g	21	{"1": "anders"}	{"1": "other"}	1: other	1: anders	other / what do you currently do in your daily life?
bent u getest voor het coronavirus (covid-19)?	covt01_infection_adu_q_1	covt02_infection_adu_q_1	covt03_infection_adu_q_1	covt04_infection_adu_q_1	covt05_infection_adu_q_2	covt06_infection_adu_q_3	covt07_infection_adu_q_3	covt08_infection_adu_q_3	covt09_infection_adu_q_3	covt10_infection_adu_q_3	covt11_infection_adu_q_3	covt12_infection_adu_q_3	covt13_infection_adu_q_3	covt14_infection_adu_q_3	covt15_infection_adu_q_3	covt15b_infection_adu_q_3	covt16_infection_adu_q_3	covt16b_infection_adu_q_3	covt17_infection_adu_q_3	covt18_infection_adu_q_3	covt19_infection_adu_q_3	21	{"2": "nee", "1": "ja"}	{"2": "no", "1": "yes"}	2: no, 1: yes	2: nee, 1: ja	have you been tested for coronavirus (covid-19)?
responsdatum covid-vragenlijst	covt01_responsedate_adu_q_1	covt02_responsedate_adu_q_1	covt03_responsedate_adu_q_1	covt04_responsedate_adu_q_1	covt05_responsedate_adu_q_1	covt06_responsedate_adu_q_1	covt07_responsedate_adu_q_1	covt08_responsedate_adu_q_1	covt09_responsedate_adu_q_1	covt10_responsedate_adu_q_1	covt11_responsedate_adu_q_1	covt12_responsedate_adu_q_1	covt13_responsedate_adu_q_1	covt14_responsedate_adu_q_1	covt15_responsedate_adu_q_1	covt15b_responsedate_adu_q_1	covt16_responsedate_adu_q_1	covt16b_responsedate_adu_q_1	covt17_responsedate_adu_q_1	covt18_responsedate_adu_q_1	covt19_responsedate_adu_q_1	21	{}	{}			response date covid questionnaire
