question_label_nl	model_type	TypeLongnitudinal	Mixed	Number of timepoints	Question en	Answer options	Recode value labels
BMI	gaussian	gaussian	TRUE	16	NA	{}	NA
Mini combined, depressief score	gaussian	gaussian	TRUE	9	NA	{}	NA
Positive tested cumsum	binomial	binomial	FALSE	19	NA	{}	NA
aandachtig / in welke mate heeft u zich de afgelopen 14 dagen zo gevoeld?	ordinal-ordered	binomial	TRUE	7	attentive / to what extent have you felt this way in the past 14 days?	{"1":"nauwelijks of helemaal niet","2":"een beetje","3":"tamelijk","4":"vrij sterk","5":"in zeer hoge mate"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
actief / in welke mate heeft u zich de afgelopen 14 dagen zo gevoeld?	ordinal-ordered	binomial	TRUE	7	active / to what extent have you felt this way in the past 14 days?	{"1":"nauwelijks of helemaal niet","2":"een beetje","3":"tamelijk","4":"vrij sterk","5":"in zeer hoge mate"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
bang / in welke mate heeft u zich de afgelopen 14 dagen zo gevoeld?	ordinal-ordered	binomial	TRUE	7	afraid / to what extent have you felt this way in the past 14 days?	{"1":"nauwelijks of helemaal niet","2":"een beetje","3":"tamelijk","4":"vrij sterk","5":"in zeer hoge mate"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
bedroefd / in welke mate heeft u zich de afgelopen 14 dagen zo gevoeld?	ordinal-ordered	binomial	TRUE	7	sad / to what extent have you felt this way in the past 14 days?	{"1":"nauwelijks of helemaal niet","2":"een beetje","3":"tamelijk","4":"vrij sterk","5":"in zeer hoge mate"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
beschaamd / in welke mate heeft u zich de afgelopen 14 dagen zo gevoeld?	ordinal-ordered	binomial	TRUE	7	ashamed / to what extent have you felt this way in the past 14 days?	{"1":"nauwelijks of helemaal niet","2":"een beetje","3":"tamelijk","4":"vrij sterk","5":"in zeer hoge mate"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
buikpijn / in welke mate had u de afgelopen 7 dagen last van:	ordinal-ordered	binomial	TRUE	16	stomach pain / to what extent have you had the following symptoms in the last 7 days:	{"1":"helemaal niet","2":"een beetje","3":"nogal","4":"tamelijk veel","5":"heel erg"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
diarree / in welke mate had u de afgelopen 7 dagen last van:	ordinal-ordered	binomial	TRUE	16	diarrhea / to what extent have you had the following symptoms in the last 7 days:	{"1":"helemaal niet","2":"een beetje","3":"nogal","4":"tamelijk veel","5":"heel erg"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
diarree of buikpijn / in welke mate had u de afgelopen 7 dagen last van:	ordinal-ordered	binomial	TRUE	2	diarrhea or stomach pain / to what extent have you had the following symptoms in the last 7 days:	{"1":"helemaal niet","2":"een beetje","3":"nogal","4":"tamelijk veel","5":"heel erg"}	{"1": "0", "2": "0", "3": "0", "4": "1", "5": "1"}
duizeligheid / in welke mate had u de afgelopen 7 dagen last van:	ordinal-ordered	binomial	TRUE	18	dizziness / to what extent have you had the following symptoms in the last 7 days:	{"1":"helemaal niet","2":"een beetje","3":"nogal","4":"tamelijk veel","5":"heel erg"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
een brok in je keel / in welke mate had u de afgelopen 7 dagen last van:	ordinal-ordered	binomial	TRUE	18	a lump in your throat / to what extent have you had the following symptoms in the last 7 days:	{"1":"helemaal niet","2":"een beetje","3":"nogal","4":"tamelijk veel","5":"heel erg"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
geen handen schuddden / ik houd me aan de volgende maatregelen:	binomial	binomial	TRUE	2	no handshakes / i comply with the following measures:	{"0":"no, i did this before but not anymore","1":"yes, since the corona crisis","5":"NaN"}	NA
geen handen schuddden / ik houd me aan de volgende maatregelen:	binomial	binomial	TRUE	2	no handshakes / i comply with the following measures:	{"0":"no, i did this before but not anymore","1":"NaN","5":"NaN"}	NA
