	question_id	is_first_time_asked	question_label_nl	question_label_en	model_type	given_recode_json	is_recoded	given_recode_human	total_recode_json	total_recode_human	value_counts	value_counts_human	value_counts_after_recode	value_counts_after_recode_human	answer_options_nl_json	answer_options_nl_human	answer_options_nl_after_recode_json	answer_options_nl_after_recode_human	answer_options_en_json	answer_options_en_human	answer_options_en_after_recode_json	answer_options_en_after_recode_human
0	measure_score	TRUE	Maatregelen score		gaussian		FALSE				{"NaN": 14966, "9.0": 2783, "8.0": 2378, "10.0": 2244, "7.0": 1555, "11.0": 1265, "6.0": 853, "12.0": 651, "5.0": 422, "4.0": 228, "3.0": 105, "2.0": 63, "1.0": 24}	NaN: 14966, 9.0: 2783, 8.0: 2378, 10.0: 2244, 7.0: 1555, 11.0: 1265, 6.0: 853, 12.0: 651, 5.0: 422, 4.0: 228, 3.0: 105, 2.0: 63, 1.0: 24	{"NaN": 14966, "9.0": 2783, "8.0": 2378, "10.0": 2244, "7.0": 1555, "11.0": 1265, "6.0": 853, "12.0": 651, "5.0": 422, "4.0": 228, "3.0": 105, "2.0": 63, "1.0": 24}	NaN: 14966, 9.0: 2783, 8.0: 2378, 10.0: 2244, 7.0: 1555, 11.0: 1265, 6.0: 853, 12.0: 651, 5.0: 422, 4.0: 228, 3.0: 105, 2.0: 63, 1.0: 24	{}		{}		{}		{}	
1	covt10_mini_combined_depressive	TRUE	Mini combined, depressief		binomial		FALSE				{"NaN": 27109, "0.0": 297, "1.0": 131}	NaN: 27109, 0.0: 297, 1.0: 131	{"NaN": 27109, "0.0": 297, "1.0": 131}	NaN: 27109, 0.0: 297, 1.0: 131	{}		{}		{}		{}	
2	covt13_mini_combined_depressive	FALSE	Mini combined, depressief		binomial		FALSE				{"NaN": 26936, "0.0": 429, "1.0": 172}	NaN: 26936, 0.0: 429, 1.0: 172	{"NaN": 26936, "0.0": 429, "1.0": 172}	NaN: 26936, 0.0: 429, 1.0: 172	{}		{}		{}		{}	
3	covt14_mini_combined_depressive	FALSE	Mini combined, depressief		binomial		FALSE				{"NaN": 26920, "0.0": 447, "1.0": 170}	NaN: 26920, 0.0: 447, 1.0: 170	{"NaN": 26920, "0.0": 447, "1.0": 170}	NaN: 26920, 0.0: 447, 1.0: 170	{}		{}		{}		{}	
4	covt15_mini_combined_depressive	FALSE	Mini combined, depressief		binomial		FALSE				{"NaN": 26877, "0.0": 500, "1.0": 160}	NaN: 26877, 0.0: 500, 1.0: 160	{"NaN": 26877, "0.0": 500, "1.0": 160}	NaN: 26877, 0.0: 500, 1.0: 160	{}		{}		{}		{}	
5	covt16_mini_combined_depressive	FALSE	Mini combined, depressief		binomial		FALSE				{"NaN": 26972, "0.0": 411, "1.0": 154}	NaN: 26972, 0.0: 411, 1.0: 154	{"NaN": 26972, "0.0": 411, "1.0": 154}	NaN: 26972, 0.0: 411, 1.0: 154	{}		{}		{}		{}	
6	covt17_mini_combined_depressive	FALSE	Mini combined, depressief		binomial		FALSE				{"NaN": 26743, "0.0": 603, "1.0": 191}	NaN: 26743, 0.0: 603, 1.0: 191	{"NaN": 26743, "0.0": 603, "1.0": 191}	NaN: 26743, 0.0: 603, 1.0: 191	{}		{}		{}		{}	
7	covt1_mini_depressive_score	TRUE	Mini combined, depressief score		gaussian		FALSE				{"NaN": 17402, "0.0": 8897, "3.0": 276, "2.0": 272, "1.0": 215, "4.0": 184, "5.0": 145, "6.0": 89, "7.0": 40, "8.0": 17}	NaN: 17402, 0.0: 8897, 3.0: 276, 2.0: 272, 1.0: 215, 4.0: 184, 5.0: 145, 6.0: 89, 7.0: 40, 8.0: 17	{"NaN": 17402, "0.0": 8897, "3.0": 276, "2.0": 272, "1.0": 215, "4.0": 184, "5.0": 145, "6.0": 89, "7.0": 40, "8.0": 17}	NaN: 17402, 0.0: 8897, 3.0: 276, 2.0: 272, 1.0: 215, 4.0: 184, 5.0: 145, 6.0: 89, 7.0: 40, 8.0: 17	{}		{}		{}		{}	
8	covt2_mini_depressive_score	FALSE	Mini combined, depressief score		gaussian		FALSE				{"NaN": 17496, "0.0": 9088, "3.0": 208, "2.0": 207, "4.0": 168, "5.0": 136, "1.0": 122, "6.0": 65, "7.0": 37, "8.0": 10}	NaN: 17496, 0.0: 9088, 3.0: 208, 2.0: 207, 4.0: 168, 5.0: 136, 1.0: 122, 6.0: 65, 7.0: 37, 8.0: 10	{"NaN": 17496, "0.0": 9088, "3.0": 208, "2.0": 207, "4.0": 168, "5.0": 136, "1.0": 122, "6.0": 65, "7.0": 37, "8.0": 10}	NaN: 17496, 0.0: 9088, 3.0: 208, 2.0: 207, 4.0: 168, 5.0: 136, 1.0: 122, 6.0: 65, 7.0: 37, 8.0: 10	{}		{}		{}		{}	
9	covt6_mini_depressive_score	FALSE	Mini combined, depressief score		gaussian		FALSE				{"NaN": 15202, "0.0": 11676, "2.0": 140, "3.0": 139, "4.0": 112, "5.0": 98, "1.0": 76, "6.0": 49, "7.0": 33, "8.0": 12}	NaN: 15202, 0.0: 11676, 2.0: 140, 3.0: 139, 4.0: 112, 5.0: 98, 1.0: 76, 6.0: 49, 7.0: 33, 8.0: 12	{"NaN": 15202, "0.0": 11676, "2.0": 140, "3.0": 139, "4.0": 112, "5.0": 98, "1.0": 76, "6.0": 49, "7.0": 33, "8.0": 12}	NaN: 15202, 0.0: 11676, 2.0: 140, 3.0: 139, 4.0: 112, 5.0: 98, 1.0: 76, 6.0: 49, 7.0: 33, 8.0: 12	{}		{}		{}		{}	
10	covt10_mini_depressive_score	FALSE	Mini combined, depressief score		gaussian		FALSE				{"NaN": 27108, "3.0": 87, "2.0": 79, "4.0": 79, "5.0": 61, "1.0": 45, "6.0": 39, "7.0": 25, "0.0": 8, "8.0": 6}	NaN: 27108, 3.0: 87, 2.0: 79, 4.0: 79, 5.0: 61, 1.0: 45, 6.0: 39, 7.0: 25, 0.0: 8, 8.0: 6	{"NaN": 27108, "3.0": 87, "2.0": 79, "4.0": 79, "5.0": 61, "1.0": 45, "6.0": 39, "7.0": 25, "0.0": 8, "8.0": 6}	NaN: 27108, 3.0: 87, 2.0: 79, 4.0: 79, 5.0: 61, 1.0: 45, 6.0: 39, 7.0: 25, 0.0: 8, 8.0: 6	{}		{}		{}		{}	
